CBA_ID,UNION_ID,PSIC,REGION,EBU_YEAR_REG,SCOPE,TYPE,EMPLOYEES,MEMBERS,union_density,island_grp
"1081
",2567,MANUFACTURING,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,180,160,0.8888888888888888,Luzon
NA,2571,MANUFACTURING,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,50,23,0.46,Luzon
NA,2574,MANUFACTURING,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,60,41,0.6833333333333333,Luzon
NA,2579,TRANSPORT AND  STORAGE,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,60,40,0.6666666666666666,Luzon
NA,2586,MANUFACTURING,NCR,2002,RANK AND FILE,"INDEPENDENT
UNION",219,132,0.6027397260273972,Luzon
NA,2587,MANUFACTURING,NCR,2002,RANK AND FILE,"INDEPENDENT
UNION",50,33,0.66,Luzon
NA,2589,TRANSPORT AND  STORAGE,NCR,2002,RANK AND FILE,"INDEPENDENT
UNION",102,62,0.6078431372549019,Luzon
NA,2597,MANUFACTURING,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,80,57,0.7125,Luzon
NA,2598,MANUFACTURING,NCR,2002,RANK AND FILE,AFFILIATE,48,25,0.5208333333333334,Luzon
NA,2599,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL  ACTIVITIES",NCR,2002,RANK AND FILE,LOCAL/CHAPTER,75,42,0.56,Luzon
NA,2601,CONSTRUCTION,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,60,36,0.6,Luzon
NA,2606,MANUFACTURING,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,50,26,0.52,Luzon
"0677
",2608,MANUFACTURING,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,40,30,0.75,Luzon
NA,2612,ACCOMODATION AND FOOD SERVICE  ACTIVITIES,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,60,23,0.38333333333333336,Luzon
NA,2614,TRANSPORT AND  STORAGE,NCR,2002,RANK AND FILE,"INDEPENDENT
UNION",204,94,0.46078431372549017,Luzon
NA,2619,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2002,RANK AND FILE,INDEPENDENT UNION,10,10,1,Luzon
NA,2624,MANUFACTURING,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,40,23,0.575,Luzon
NA,2626,MANUFACTURING,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,180,150,0.8333333333333334,Luzon
NA,2633,TRANSPORT AND  STORAGE,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,30,30,1,Luzon
NA,2634,TRANSPORT AND STORAGE,NCR,2002,RANK AND FILE,AFFILIATE,78,43,0.5512820512820513,Luzon
NA,2636,MANUFACTURING,NCR,2002,RANK AND FILE,"INDEPENDENT
UNION",160,152,0.95,Luzon
NA,2638,FINANCIAL AND INSURANCE  ACTIVITIES,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,30,24,0.8,Luzon
NA,2641,MANUFACTURING,NCR,2002,RANK AND FILE,"INDEPENDENT
UNION",166,78,0.46987951807228917,Luzon
NA,2643,MANUFACTURING,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,38,14,0.3684210526315789,Luzon
NA,2644,MANUFACTURING,NCR,2002,RANK AND FILE,INDEPENDENT,100,50,0.5,Luzon
NA,2648,MANUFACTURING,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,40,35,0.875,Luzon
NA,2649,TRANSPORT AND  STORAGE,NCR,2002,SUPERVISORY,LOCAL/CHAPTER,60,27,0.45,Luzon
NA,2651,MANUFACTURING,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,110,34,0.3090909090909091,Luzon
NA,2663,MANUFACTURING,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,13,10,0.7692307692307693,Luzon
NA,2666,CONSTRUCTION,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,50,28,0.56,Luzon
"0827
",2677,FINANCIAL AND INSURANCE  ACTIVITIES,NCR,2002,RANK AND FILE,INDEPENDENT UNION,3600,803,0.22305555555555556,Luzon
NA,2686,CONSTRUCTION,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,29,9,0.3103448275862069,Luzon
NA,2688,ADMINISTRATIVE AND SUPPORT  SERVICE ACTIVITIES,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,99,99,1,Luzon
NA,2690,MANUFACTURING,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,40,21,0.525,Luzon
NA,2694,TRANSPORT AND  STORAGE,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,50,39,0.78,Luzon
NA,2697,MANUFACTURING,NCR,2002,RANK AND FILE,"INDEPENDENT
UNION",200,74,0.37,Luzon
NA,2704,MANUFACTURING,NCR,2002,RANK AND FILE,"INDEPENDENT
UNION",27,27,1,Luzon
NA,2705,MANUFACTURING,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,22,20,0.9090909090909091,Luzon
NA,2707,MANUFACTURING,NCR,2002,RANK AND FILE,"INDEPENDENT
UNION",65,28,0.4307692307692308,Luzon
"0882
",2709,MANUFACTURING,NCR,2002,RANK AND FILE,"INDEPENDENT
UNION",121,62,0.512396694,Luzon
NA,2710,TRANSPORT AND  STORAGE,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,50,20,0.4,Luzon
NA,2713,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,64,37,0.578125,Luzon
NA,2714,MANUFACTURING,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,130,42,0.3230769230769231,Luzon
NA,2725,ADMINISTRATIVE AND SUPPORT  SERVICE ACTIVITIES,NCR,2002,RANK AND FILE,INDEPENDENT UNION,157,72,0.4585987261146497,Luzon
NA,2726,TRANSPORT AND  STORAGE,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,110,41,0.37272727272727274,Luzon
NA,2728,ACCOMODATION AND FOOD SERVICE  ACTIVITIES,NCR,2002,RANK AND FILE,INDEPENDENT UNION,32,22,0.6875,Luzon
NA,2729,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,35,29,0.8285714285714286,Luzon
NA,2736,MANUFACTURING,NCR,2002,RANK AND FILE,AFFILIATE,80,44,0.55,Luzon
NA,2740,EDUCATION,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,54,31,0.5740740740740741,Luzon
0959,2747,MANUFACTURING,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,20,19,0.95,Luzon
NA,2751,MANUFACTURING,NCR,2002,RANK AND FILE,"INDEPENDENT
UNION",103,51,0.49514563106796117,Luzon
NA,2752,MANUFACTURING,NCR,2002,RANK AND FILE,"INDEPENDENT
UNION",55,34,0.6181818181818182,Luzon
NA,2767,FINANCIAL AND INSURANCE  ACTIVITIES,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,46,17,0.3695652173913043,Luzon
NA,2770,MANUFACTURING,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,77,77,1,Luzon
NA,2771,ACCOMODATION AND FOOD SERVICE  ACTIVITIES,NCR,2002,RANK AND FILE,INDEPENDENT UNION,36,30,0.8333333333333334,Luzon
"0213
",2777,MANUFACTURING,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,50,35,0.7,Luzon
NA,2780,TRANSPORT AND  STORAGE,NCR,2002,RANK AND FILE,"INDEPENDENT
UNION",134,134,1,Luzon
NA,2782,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,114,50,0.43859649122807015,Luzon
NA,2787,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,11,9,0.8181818181818182,Luzon
NA,2788,MANUFACTURING,NCR,2002,RANK AND FILE,LOCAL/CHAPTER,25,21,0.84,Luzon
NA,2793,HUMAN HEALTH AND SOCIAL WORK  ACTIVITIES,NCR,2001,RANK AND FILE,LOCAL/CHAPTER,127,70,0.5511811023622047,Luzon
NA,2798,MANUFACTURING,NCR,2001,RANK AND FILE,LOCAL/CHAPTER,61,25,0.4098360655737705,Luzon
NA,2827,MANUFACTURING,NCR,2001,RANK AND FILE,LOCAL/CHAPTER,105,75,0.7142857142857143,Luzon
NA,2828,MANUFACTURING,NCR,2001,RANK AND FILE,LOCAL/CHAPTER,35,26,0.7428571428571429,Luzon
NA,2836,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2001,RANK AND FILE,LOCAL/CHAPTER,38,23,0.6052631578947368,Luzon
NA,2839,MANUFACTURING,NCR,2001,RANK AND FILE,LOCAL/CHAPTER,45,24,0.5333333333333333,Luzon
NA,2841,NA,NCR,2001,RANK AND FILE,LOCAL/CHAPTER,106,100,0.9433962264150944,Luzon
NA,2842,MANUFACTURING,NCR,2001,RANK AND FILE,LOCAL/CHAPTER,145,92,0.6344827586206897,Luzon
NA,2846,MANUFACTURING,NCR,2001,RANK AND FILE,LOCAL/CHAPTER,140,83,0.5928571428571429,Luzon
NA,2860,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2001,RANK AND FILE,INDEPENDENT UNION,276,55,0.19927536231884058,Luzon
NA,2865,TRANSPORT AND  STORAGE,NCR,2001,RANK AND FILE,LOCAL/CHAPTER,75,27,0.36,Luzon
NA,2869,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2001,RANK AND FILE,LOCAL/CHAPTER,112,55,0.49107142857142855,Luzon
NA,2871,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2001,RANK AND FILE,INDEPENDENT UNION,19,11,0.5789473684210527,Luzon
NA,2877,FINANCIAL AND INSURANCE  ACTIVITIES,NCR,2001,RANK AND FILE,LOCAL/CHAPTER,4300,280,0.065116279,Luzon
NA,2881,ADMINISTRATIVE AND SUPPORT  SERVICE ACTIVITIES,NCR,2001,RANK AND FILE,INDEPENDENT UNION,15,15,1,Luzon
1065,2885,MANUFACTURING,NCR,2001,RANK AND FILE,LOCAL/CHAPTER,300,270,0.9,Luzon
0529,2894,MANUFACTURING,NCR,2001,RANK AND FILE,"INDEPENDENT
UNION",92,60,0.6521739130434783,Luzon
NA,2907,NA,NCR,2001,RANK AND FILE,LOCAL/CHAPTER,50,48,0.96,Luzon
NA,2910,MANUFACTURING,NCR,2001,RANK AND FILE,LOCAL/CHAPTER,48,30,0.625,Luzon
NA,2914,TRANSPORT AND  STORAGE,NCR,2001,RANK AND FILE,"INDEPENDENT
UNION",45,23,0.5111111111111111,Luzon
NA,2918,MANUFACTURING,NCR,2001,RANK AND FILE,LOCAL/CHAPTER,37,30,0.8108108108108109,Luzon
NA,2921,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2001,RANK AND FILE,LOCAL/CHAPTER,25,14,0.56,Luzon
NA,2936,MANUFACTURING,NCR,2001,RANK AND FILE,LOCAL/CHAPTER,17,12,0.7058823529411765,Luzon
NA,2952,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2001,RANK AND FILE,LOCAL/CHAPTER,128,32,0.25,Luzon
NA,2957,MANUFACTURING,NCR,2001,RANK AND FILE,LOCAL/CHAPTER,115,50,0.43478260869565216,Luzon
NA,2959,MANUFACTURING,NCR,2001,RANK AND FILE,LOCAL/CHAPTER,68,42,0.6176470588235294,Luzon
NA,2965,MANUFACTURING,NCR,2001,RANK AND FILE,LOCAL/CHAPTER,70,17,0.24285714285714285,Luzon
"0232
",2967,ACCOMODATION AND FOOD SERVICE  ACTIVITIES,NCR,2001,RANK AND FILE,LOCAL/CHAPTER,150,76,0.5066666666666667,Luzon
NA,2969,MANUFACTURING,NCR,2001,RANK AND FILE,LOCAL/CHAPTER,900,400,0.4444444444444444,Luzon
NA,2975,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2001,RANK AND FILE,INDEPENDENT UNION,421,421,1,Luzon
NA,2976,MANUFACTURING,NCR,2001,RANK AND FILE,INDEPENDENT UNION,38,15,0.39473684210526316,Luzon
NA,2977,MANUFACTURING,NCR,2001,RANK AND FILE,"INDEPENDENT
UNION",45,42,0.9333333333333333,Luzon
NA,2979,MANUFACTURING,NCR,2001,RANK AND FILE,LOCAL/CHAPTER,120,49,0.4083333333333333,Luzon
NA,3000,MANUFACTURING,NCR,2001,RANK AND FILE,LOCAL/CHAPTER,36,30,0.8333333333333334,Luzon
NA,3006,TRANSPORT AND  STORAGE,NCR,2001,RANK AND FILE,"INDEPENDENT
UNION",185,131,0.7081081081081081,Luzon
NA,3009,"AGRICULTURE, FORESTRY AND  FISHING",NCR,2001,RANK AND FILE,LOCAL/CHAPTER,70,27,0.38571428571428573,Luzon
NA,3039,ACCOMODATION AND FOOD SERVICE  ACTIVITIES,NCR,2001,RANK AND FILE,LOCAL/CHAPTER,33,10,0.30303030303030304,Luzon
NA,3042,TRANSPORT AND  STORAGE,NCR,2001,RANK AND FILE,LOCAL/CHAPTER,60,39,0.65,Luzon
NA,3047,MANUFACTURING,NCR,2001,RANK AND FILE,LOCAL/CHAPTER,35,31,0.8857142857142857,Luzon
NA,3052,ACCOMODATION AND FOOD SERVICE  ACTIVITIES,NCR,2001,RANK AND FILE,INDEPENDENT UNION,40,36,0.9,Luzon
NA,3061,TRANSPORT AND  STORAGE,NCR,2001,RANK AND FILE,"INDEPENDENT
UNION",27,18,0.6666666666666666,Luzon
NA,3067,MANUFACTURING,NCR,2001,RANK AND FILE,LOCAL/CHAPTER,70,45,0.6428571428571429,Luzon
NA,3070,MANUFACTURING,NCR,2001,RANK AND FILE,LOCAL/CHAPTER,18,11,0.6111111111111112,Luzon
NA,3076,MANUFACTURING,NCR,2001,RANK AND FILE,LOCAL/CHAPTER,200,121,0.605,Luzon
NA,3084,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL  ACTIVITIES",NCR,2001,RANK AND FILE,LOCAL/CHAPTER,74,60,0.8108108108108109,Luzon
NA,3087,MANUFACTURING,NCR,2001,RANK AND FILE,LOCAL/CHAPTER,103,95,0.9223300970873787,Luzon
NA,3089,MANUFACTURING,NCR,2001,RANK AND FILE,LOCAL/CHAPTER,27,15,0.5555555555555556,Luzon
NA,3096,ADMINISTRATIVE AND SUPPORT  SERVICE ACTIVITIES,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,190,65,0.34210526315789475,Luzon
NA,3098,EDUCATION,NCR,2000,RANK AND FILE,"INDEPENDENT
UNION",190,63,0.33157894736842103,Luzon
NA,3100,MANUFACTURING,NCR,2000,RANK AND FILE,"INDEPENDENT
UNION",95,42,0.4421052631578947,Luzon
NA,3103,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2000,RANK AND FILE,INDEPENDENT UNION,42,12,0.2857142857142857,Luzon
NA,3104,FINANCIAL AND INSURANCE  ACTIVITIES,NCR,2000,RANK AND FILE,INDEPENDENT UNION,38,38,1,Luzon
NA,3109,MANUFACTURING,NCR,2000,RANK AND FILE,AFFILIATE,215,192,0.8930232558139535,Luzon
NA,3115,MANUFACTURING,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,50,14,0.28,Luzon
NA,3117,MANUFACTURING,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,500,379,0.758,Luzon
NA,3118,EDUCATION,NCR,2000,RANK AND FILE,"INDEPENDENT
UNION",34,11,0.3235294117647059,Luzon
NA,3119,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2000,RANK AND FILE,INDEPENDENT UNION,31,24,0.7741935483870968,Luzon
NA,3128,MANUFACTURING,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,50,45,0.9,Luzon
NA,3130,MANUFACTURING,NCR,2000,SUPERVISORY,"INDEPENDENT
UNION",99,65,0.6565656565656566,Luzon
NA,3133,MANUFACTURING,NCR,2000,RANK AND FILE,"INDEPENDENT
UNION",67,52,0.7761194029850746,Luzon
NA,3136,ADMINISTRATIVE AND SUPPORT  SERVICE ACTIVITIES,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,49,33,0.673469388,Luzon
NA,3139,TRANSPORT AND  STORAGE,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,30,18,0.6,Luzon
NA,3140,MANUFACTURING,NCR,2000,RANK AND FILE,"INDEPENDENT
UNION",40,11,0.275,Luzon
NA,3148,MANUFACTURING,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,33,19,0.5757575757575758,Luzon
NA,3149,MANUFACTURING,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,40,16,0.4,Luzon
NA,3152,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2000,RANK AND FILE,INDEPENDENT UNION,256,81,0.31640625,Luzon
NA,3156,FINANCIAL AND  INSURANCE ACTIVITIES,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,3000,318,0.106,Luzon
NA,3157,MANUFACTURING,NCR,2000,RANK AND FILE,INDEPENDENT,20,7,0.35,Luzon
NA,3160,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,17,11,0.6470588235294118,Luzon
NA,3161,MANUFACTURING,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,25,18,0.72,Luzon
NA,3163,MANUFACTURING,NCR,2000,RANK AND FILE,INDEPENDENT,41,34,0.8292682926829268,Luzon
NA,3167,MANUFACTURING,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,65,35,0.5384615384615384,Luzon
NA,3171,MANUFACTURING,NCR,2000,RANK AND FILE,"INDEPENDENT
UNION",34,18,0.5294117647058824,Luzon
NA,3173,OTHER SERVICES  ACTIVITIES,NCR,2000,RANK AND FILE,"INDEPENDENT
UNION",57,31,0.543859649,Luzon
NA,3176,MANUFACTURING,NCR,2000,RANK AND FILE,"INDEPENDENT
UNION",100,23,0.23,Luzon
NA,3187,MANUFACTURING,NCR,2000,RANK AND FILE,"INDEPENDENT
UNION",103,67,0.6504854368932039,Luzon
NA,3189,ACCOMODATION AND FOOD SERVICE  ACTIVITIES,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,18,18,1,Luzon
NA,3190,MANUFACTURING,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,195,82,0.4205128205128205,Luzon
NA,3195,MANUFACTURING,NCR,2000,RANK AND FILE,"INDEPENDENT
UNION",122,122,1,Luzon
NA,3197,ADMINISTRATIVE  AND SUPPORT SERVICE ACTIVITIES,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,50,40,0.8,Luzon
"0603
",3199,TRANSPORT AND  STORAGE,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,850,408,0.48,Luzon
NA,3207,MANUFACTURING,NCR,2000,RANK AND FILE,"INDEPENDENT
UNION",70,27,0.38571428571428573,Luzon
NA,3208,MANUFACTURING,NCR,2000,RANK AND FILE,"INDEPENDENT
UNION",31,29,0.9354838709677419,Luzon
NA,3209,ADMINISTRATIVE AND SUPPORT  SERVICE ACTIVITIES,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,500,299,0.598,Luzon
NA,3211,MANUFACTURING,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,82,40,0.4878048780487805,Luzon
NA,3214,MANUFACTURING,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,1111,273,0.24572457245724572,Luzon
NA,3215,ACCOMODATION AND FOOD SERVICE  ACTIVITIES,NCR,2000,RANK AND FILE,INDEPENDENT UNION,16,10,0.625,Luzon
NA,3217,ADMINISTRATIVE AND SUPPORT  SERVICE ACTIVITIES,NCR,2000,RANK AND FILE,INDEPENDENT UNION,17,17,1,Luzon
NA,3218,TRANSPORT AND  STORAGE,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,230,110,0.4782608695652174,Luzon
NA,3225,TRANSPORT AND  STORAGE,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,44,36,0.8181818181818182,Luzon
NA,3228,EDUCATION,NCR,2000,RANK AND FILE,INDEPENDENT,158,72,0.45569620253164556,Luzon
NA,3231,EDUCATION,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,34,34,1,Luzon
NA,3237,TRANSPORT AND  STORAGE,NCR,2000,RANK AND FILE,"INDEPENDENT
UNION",947,250,0.26399155227032733,Luzon
NA,3241,ACCOMODATION AND FOOD SERVICE  ACTIVITIES,NCR,2000,RANK AND FILE,INDEPENDENT UNION,109,88,0.8073394495412844,Luzon
NA,3244,ACCOMODATION  AND FOOD SERVICE ACTIVITIES,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,20,15,0.75,Luzon
NA,3245,ADMINISTRATIVE AND SUPPORT  SERVICE ACTIVITIES,NCR,2000,RANK AND FILE,AFFILIATE,80,58,0.725,Luzon
NA,3246,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,75,52,0.6933333333333334,Luzon
NA,3247,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,107,49,0.45794392523364486,Luzon
NA,3248,MANUFACTURING,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,445,340,0.7640449438202247,Luzon
NA,3249,TRANSPORT AND  STORAGE,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,81,81,1,Luzon
NA,3250,TRANSPORT AND  STORAGE,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,100,35,0.35,Luzon
NA,3252,FINANCIAL AND  INSURANCE ACTIVITIES,NCR,2000,RANK AND FILE,INDEPENDENT UNION,68,24,0.35294117647058826,Luzon
NA,3257,MANUFACTURING,NCR,2000,RANK AND FILE,"INDEPENDENT
UNION",70,36,0.5142857142857142,Luzon
NA,3259,MANUFACTURING,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,65,50,0.7692307692307693,Luzon
NA,3265,MANUFACTURING,NCR,2000,RANK AND FILE,"INDEPENDENT
UNION",433,232,0.535796767,Luzon
NA,3267,FINANCIAL AND INSURANCE  ACTIVITIES,NCR,2000,RANK AND FILE,INDEPENDENT UNION,1400,519,0.3707142857142857,Luzon
NA,3270,MANUFACTURING,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,51,30,0.5882352941176471,Luzon
NA,3271,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING  SUPPLY",NCR,2000,RANK AND FILE,LOCAL/CHAPTER,65,36,0.5538461538461539,Luzon
NA,3273,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,52,15,0.28846153846153844,Luzon
NA,3276,MANUFACTURING,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,43,39,0.9069767441860465,Luzon
NA,3278,TRANSPORT AND  STORAGE,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,192,140,0.7291666666666666,Luzon
NA,3281,MANUFACTURING,NCR,2000,RANK AND FILE,"INDEPENDENT
UNION",150,39,0.26,Luzon
NA,3287,INFORMATION AND COMMUNICATION,NCR,2000,SUPERVISORY,INDEPENDENT UNION,222,76,0.34234234234234234,Luzon
NA,3291,MANUFACTURING,NCR,2000,RANK AND FILE,"INDEPENDENT
UNION",37,12,0.32432432432432434,Luzon
NA,3292,MANUFACTURING,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,90,46,0.5111111111111111,Luzon
NA,3293,TRANSPORT AND  STORAGE,NCR,2000,RANK AND FILE,"INDEPENDENT
UNION",85,40,0.47058823529411764,Luzon
NA,3295,EDUCATION,NCR,2000,RANK AND FILE,"INDEPENDENT
UNION",500,172,0.344,Luzon
NA,3297,MANUFACTURING,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,300,134,0.44666666666666666,Luzon
NA,3298,MANUFACTURING,NCR,2000,RANK AND FILE,"INDEPENDENT
UNION",115,115,1,Luzon
NA,3299,MANUFACTURING,NCR,2000,RANK AND FILE,"INDEPENDENT
UNION",325,325,1,Luzon
NA,3302,MANUFACTURING,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,57,31,0.543859649,Luzon
NA,3304,MANUFACTURING,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,785,762,0.9707006369426752,Luzon
NA,3305,MANUFACTURING,NCR,2000,SUPERVISORY,INDEPENDENT,126,70,0.5555555555555556,Luzon
NA,3306,MANUFACTURING,NCR,2000,RANK AND FILE,"INDEPENDENT
UNION",33,12,0.36363636363636365,Luzon
NA,3308,MANUFACTURING,NCR,2000,RANK AND FILE,INDEPENDENT,50,16,0.32,Luzon
NA,3312,MANUFACTURING,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,147,90,0.6122448979591837,Luzon
NA,3320,MANUFACTURING,NCR,2000,RANK AND FILE,"INDEPENDENT
UNION",40,19,0.475,Luzon
NA,3322,MANUFACTURING,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,30,10,0.3333333333333333,Luzon
NA,3324,MANUFACTURING,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,68,54,0.7941176470588235,Luzon
NA,3331,MANUFACTURING,NCR,2000,RANK AND FILE,LOCAL/CHAPTER,62,50,0.8064516129032258,Luzon
NA,3335,MANUFACTURING,NCR,1999,RANK AND FILE,"INDEPENDENT
UNION",145,73,0.503448276,Luzon
NA,3339,TRANSPORT AND  STORAGE,NCR,1999,RANK AND FILE,"INDEPENDENT
UNION",641,51,0.079563183,Luzon
NA,3341,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,1999,RANK AND FILE,INDEPENDENT UNION,70,33,0.4714285714285714,Luzon
NA,3343,MINING AND  QUARRYING,NCR,1999,RANK AND FILE,LOCAL/CHAPTER,73,73,1,Luzon
"0296
",3344,MANUFACTURING,NCR,1999,RANK AND FILE,LOCAL/CHAPTER,280,280,1,Luzon
NA,3345,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING  SUPPLY",NCR,1999,RANK AND FILE,LOCAL/CHAPTER,150,120,0.8,Luzon
NA,3347,MANUFACTURING,NCR,1999,RANK AND FILE,LOCAL/CHAPTER,66,33,0.5,Luzon
NA,3352,MANUFACTURING,NCR,1999,RANK AND FILE,LOCAL/CHAPTER,20,18,0.9,Luzon
NA,3353,MANUFACTURING,NCR,1999,SUPERVISORY,INDEPENDENT,162,20,0.12345679012345678,Luzon
NA,3355,MANUFACTURING,NCR,1999,RANK AND FILE,LOCAL/CHAPTER,25,13,0.52,Luzon
NA,3356,FINANCIAL AND  INSURANCE ACTIVITIES,NCR,1999,RANK AND FILE,LOCAL/CHAPTER,500,315,0.63,Luzon
NA,3359,MANUFACTURING,NCR,1999,RANK AND FILE,LOCAL/CHAPTER,60,30,0.5,Luzon
NA,3364,ACCOMODATION  AND FOOD SERVICE ACTIVITIES,NCR,1999,RANK AND FILE,LOCAL/CHAPTER,100,56,0.56,Luzon
NA,3365,MANUFACTURING,NCR,1999,RANK AND FILE,LOCAL/CHAPTER,150,52,0.3466666666666667,Luzon
