CBA_ID,UNION_ID,PSIC,REGION,EBU_YEAR_REG,SCOPE,TYPE,EMPLOYEES,MEMBERS,union_density,island_grp
NA,49,MANUFACTURING,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,290,20,0.068965517,Luzon
NA,50,MANUFACTURING,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,110,40,0.36363636363636365,Luzon
NA,51,MANUFACTURING,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,500,100,0.2,Luzon
NA,52,MINING AND  QUARRYING,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,94,56,0.5957446808510638,Luzon
NA,53,MANUFACTURING,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,50,13,0.26,Luzon
NA,54,MANUFACTURING,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,140,15,0.10714285714285714,Luzon
NA,55,MANUFACTURING,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,39,15,0.38461538461538464,Luzon
0816,56,MANUFACTURING,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,62,39,0.6290322580645161,Luzon
NA,57,MANUFACTURING,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,53,12,0.22641509433962265,Luzon
NA,58,MANUFACTURING,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,104,93,0.8942307692307693,Luzon
NA,59,TRANSPORT AND  STORAGE,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,34,15,0.4411764705882353,Luzon
NA,60,ACCOMODATION AND FOOD SERVICE  ACTIVITIES,NCR,2019,RANK AND FILE,INDEPENDENT UNION,28,8,0.2857142857142857,Luzon
NA,61,MINING AND  QUARRYING,NCR,2019,RANK AND FILE,"INDEPENDENT
UNION",22,10,0.45454545454545453,Luzon
"0390
",62,MANUFACTURING,NCR,2019,RANK AND FILE,INDEPENDENT,30,20,0.6666666666666666,Luzon
NA,63,MANUFACTURING,NCR,2019,RANK AND FILE,INDEPENDENT UNION,390,20,0.051282051,Luzon
0748,64,MANUFACTURING,NCR,2019,RANK AND FILE,INDEPENDENT UNION,148,93,0.6283783783783784,Luzon
"0711
",65,ADMINISTRATIVE AND SUPPORT  SERVICE ACTIVITIES,NCR,2019,RANK AND FILE,INDEPENDENT UNION,70,15,0.21428571428571427,Luzon
"0807
",66,MANUFACTURING,NCR,2019,RANK AND FILE,"INDEPENDENT
UNION",130,110,0.8461538461538461,Luzon
NA,67,TRANSPORT AND  STORAGE,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,58,19,0.3275862068965517,Luzon
NA,68,MANUFACTURING,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,210,25,0.11904761904761904,Luzon
NA,69,MANUFACTURING,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,140,94,0.6714285714285714,Luzon
NA,70,ACCOMODATION AND FOOD SERVICE  ACTIVITIES,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,26,13,0.5,Luzon
NA,72,ADMINISTRATIVE AND SUPPORT  SERVICE ACTIVITIES,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,5000,800,0.16,Luzon
NA,73,ACCOMODATION AND FOOD SERVICE  ACTIVITIES,NCR,2019,RANK AND FILE,INDEPENDENT UNION,28,8,0.2857142857142857,Luzon
NA,74,MANUFACTURING,NCR,2019,RANK AND FILE,"INDEPENDENT
UNION",110,58,0.5272727272727272,Luzon
"1148
",75,OTHER SERVICES  ACTIVITIES,NCR,2019,RANK AND FILE,"INDEPENDENT
UNION",31,12,0.3870967741935484,Luzon
NA,76,TRANSPORT AND STORAGE,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,630,152,0.24126984126984127,Luzon
NA,77,TRANSPORT AND  STORAGE,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,710,226,0.3183098591549296,Luzon
NA,79,TRANSPORT AND  STORAGE,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,310,85,0.27419354838709675,Luzon
NA,81,MANUFACTURING,NCR,2018,RANK AND FILE,LOCAL/CHAPTER,220,140,0.6363636363636364,Luzon
NA,82,EDUCATION,NCR,2018,RANK AND FILE,"INDEPENDENT
UNION",40,15,0.375,Luzon
NA,83,CONSTRUCTION,NCR,2018,RANK AND FILE,LOCAL/CHAPTER,69,26,0.37681159420289856,Luzon
NA,84,TRANSPORT AND  STORAGE,NCR,2018,RANK AND FILE,LOCAL/CHAPTER,68,27,0.39705882352941174,Luzon
NA,85,MANUFACTURING,NCR,2018,RANK AND FILE,LOCAL/CHAPTER,108,55,0.5092592592592593,Luzon
NA,86,TRANSPORT AND  STORAGE,NCR,2018,RANK AND FILE,LOCAL/CHAPTER,200,163,0.815,Luzon
NA,87,MANUFACTURING,NCR,2018,RANK AND FILE,LOCAL/CHAPTER,70,18,0.2571428571428571,Luzon
NA,89,MANUFACTURING,NCR,2018,RANK AND FILE,LOCAL/CHAPTER,16,12,0.75,Luzon
NA,90,ADMINISTRATIVE AND SUPPORT  SERVICE ACTIVITIES,NCR,2018,RANK AND FILE,LOCAL/CHAPTER,110,17,0.15454545454545454,Luzon
NA,91,CONSTRUCTION,NCR,2018,RANK AND FILE,LOCAL/CHAPTER,77,22,0.2857142857142857,Luzon
NA,92,TRANSPORT AND  STORAGE,NCR,2018,RANK AND FILE,LOCAL/CHAPTER,39,17,0.4358974358974359,Luzon
NA,93,TRANSPORT AND  STORAGE,NCR,2018,RANK AND FILE,LOCAL/CHAPTER,30,20,0.6666666666666666,Luzon
"0690
",94,OTHER SERVICES  ACTIVITIES,NCR,2018,RANK AND FILE,LOCAL/CHAPTER,125,10,0.08,Luzon
NA,95,TRANSPORT AND  STORAGE,NCR,2018,SUPERVISORY,"INDEPENDENT
UNION",350,88,0.25142857142857145,Luzon
NA,96,TRANSPORT AND  STORAGE,NCR,2018,RANK AND FILE,LOCAL/CHAPTER,1750,170,0.097142857,Luzon
