CBA_ID,UNION_ID,PSIC.x,REGION,EBU_YEAR_REG,SCOPE.x,TYPE,EMPLOYEES,MEMBERS,union_density,island_grp,FILE_ID,FIRM_NAME.y,PSIC.y,UNION_NAME.y,START_DATE,END_DATE,BARGAIN_UNIT,SCOPE.y,YEAR_REG,Duration,CBA_yes,EVENT,UNIONAGE1,UNIONAGE2,TIMECBA,SCOPE_new,Type,Sector,sector_grp,Density
NA,13,TRANSPORT AND STORAGE,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,39,13,33.33333333333333,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,14,TRANSPORT AND STORAGE,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,39,15,38.46153846153847,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,15,TRANSPORT AND STORAGE,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,39,19,48.717948717948715,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,16,TRANSPORT AND STORAGE,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,39,18,46.15384615384615,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,17,TRANSPORT AND STORAGE,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,39,12,30.76923076923077,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,18,TRANSPORT AND STORAGE,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,39,18,46.15384615384615,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,19,TRANSPORT AND STORAGE,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,39,19,48.717948717948715,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,20,TRANSPORT AND STORAGE,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,39,14,35.8974359,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,21,TRANSPORT AND STORAGE,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,39,10,25.64102564102564,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,22,TRANSPORT AND STORAGE,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,200,25,12.5,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,23,ADMINISTRATIVE  AND SUPPORT SERVICE ACTIVITIES,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,100,100,100,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,All others,Services,High density
NA,24,TRANSPORT AND STORAGE,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,39,39,100,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,All others,Services,High density
NA,25,TRANSPORT AND STORAGE,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,39,39,100,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,All others,Services,High density
NA,26,TRANSPORT AND STORAGE,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,39,39,100,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,All others,Services,High density
NA,27,MANUFACTURING,NCR,2019,RANK AND FILE,INDEPENDENT UNION,1000,344,34.4,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,2,2,RANK-AND-FILE,Independent,Manufacturing,Industry,Low density
NA,28,TRANSPORT AND  STORAGE,NCR,2019,RANK AND FILE,"INDEPENDENT
UNION",1070,378,35.32710280373832,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,2,2,RANK-AND-FILE,Independent,All others,Services,Low density
NA,29,"ARTS,  ENTERTAINMENT AND RECREATION",NCR,2019,RANK AND FILE,LOCAL/CHAPTER,50,11,22,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,2,2,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
